chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,filename,start,end
0.32885092,0.0880504,0.09987333,0.002034047,549.9330981602732,147976.98221051178,869.3183005902914,211559.46962926595,728.9612206823027,605775.4597001892,0.01749795942164179,5.78113498001237e-05,5.9231193e-06,0.009907778,1.06094885e-05,0.00030705563,[127.84090909],-386.75543,1876.4955,224.03766,1285.4698,78.946106,222.878,5.6860476,110.490585,3.094121,38.486332,7.0025716,34.583477,-2.2690518,43.810337,-8.848233,35.556282,-8.050788,38.731735,-7.614865,33.09572,-8.173991,46.118343,-6.33661,74.47682,-3.1250875,82.844,-1.5277524,83.368835,-2.6988864,83.79317,-4.985716,59.762478,-5.9316487,52.951183,-5.1700563,76.21254,-3.7675927,63.366463,-2.9711711,44.628757,tmpkm39r0al.wav,0.0,10.0
0.35712045,0.08466111,0.10307068,0.0020877356,500.9806453585509,6768.11891224567,798.6972110164348,51744.09447224397,692.2807835820895,14364.913339751138,0.015586999433635394,2.1527651978791202e-05,-1.5197523e-05,0.010438413,-1.9591243e-05,0.0003378219,[117.1875],-383.86517,1858.7677,230.0815,996.0457,80.170494,242.67822,5.810874,210.20975,3.5578144,52.46304,6.791485,39.28301,-3.3627641,34.73658,-9.385116,36.729954,-7.080846,34.813564,-5.608567,33.495995,-5.4830894,46.115513,-4.805662,41.919693,-5.4030786,50.50173,-6.8984013,79.113,-7.827064,103.45187,-7.286368,78.62554,-4.959873,55.443047,-2.4149652,65.44267,-1.6029681,51.988617,-3.0960512,38.919018,tmpkm39r0al.wav,10.0,20.0
0.37707826,0.07972625,0.10389002,0.0013094831,525.7402101964003,12806.585532576704,813.3686171799416,65840.13274859503,745.8771988272921,31657.710895185148,0.017149707655916845,2.779200663009393e-05,7.748348e-06,0.010040503,8.226545e-06,0.00031566343,[234.375],-371.61868,1254.4275,230.68564,508.99805,79.39647,268.2939,3.0935879,181.92432,-0.31684983,63.864098,3.9450164,39.966,-3.196913,46.406517,-8.326059,44.778202,-7.814171,51.237217,-6.3928027,65.478905,-4.7066584,103.614944,-2.0781896,105.35893,-0.72729784,84.3471,-2.4765944,78.13058,-5.886624,80.58331,-8.4584255,58.69637,-8.8966055,37.324375,-7.7170854,52.18568,-6.2493,47.29725,-6.0092425,42.708225,tmpkm39r0al.wav,20.0,30.0
0.35984877,0.089345664,0.10843345,0.0013358105,697.7953331019354,56111.39554460435,951.3618341500894,87723.1323939286,1149.0621668443496,246092.774166167,0.025340651652452025,0.0001484575492334481,-4.1037924e-06,0.010357069,-5.9820404e-06,0.00045606386,[112.5],-342.1562,1992.8547,246.36024,342.35757,40.247868,1210.5717,-3.0352864,103.116104,10.841874,134.762,7.871047,131.16762,1.6703807,116.31848,-2.4472022,55.494957,-0.51805574,113.79802,1.4144487,124.627716,-0.6141511,77.33482,-2.8334622,61.329792,-7.449725,72.991295,-12.22649,132.40132,-7.2595887,94.48694,0.31229374,75.83216,-2.537396,108.27783,-5.475117,77.772995,-0.31421596,40.241364,0.5344025,25.417364,tmpkm39r0al.wav,30.0,40.0
0.35547242,0.08788921,0.09469434,0.000858137,592.4469851468644,41540.201732454334,901.0432190634534,74831.13109918279,940.0986140724947,211631.1549041293,0.022810230377132198,0.00011467857374410434,-2.01177e-06,0.008163453,-3.7664113e-06,0.00025908774,[125.],-384.86633,1549.8934,233.92863,364.22705,68.78558,1019.78186,6.726631,230.8211,6.196208,141.78105,5.73145,138.98798,0.15078703,88.33434,-3.2645235,53.28555,-0.3656602,139.15211,2.704476,125.102615,0.39587793,74.13389,-4.012204,68.817856,-8.546685,120.75113,-10.571824,161.05466,-6.846171,101.28389,-3.4309373,77.6649,-5.460655,66.64429,-6.1421857,68.82762,-1.4708744,36.794758,1.0127034,34.768578,tmpkm39r0al.wav,40.0,50.0
0.39862698,0.091280244,0.096221924,0.001381897,524.7593468509821,14465.304572100124,855.9940286152449,70623.94521870119,729.8607409381663,79139.87662070633,0.016459971348614072,2.5871497939027847e-05,5.425235e-07,0.008873249,5.898869e-06,0.00025794154,[122.2826087],-384.45737,1594.5482,229.15837,637.4372,70.809586,428.33728,6.4315114,211.25519,10.497253,69.5967,10.181537,70.82836,-0.8457536,93.44964,-5.703997,48.078217,-5.704945,31.954744,-7.200168,33.25543,-7.133614,54.01294,-4.2373266,66.887344,-3.5318775,81.69902,-5.7852054,117.65931,-6.2519693,93.06892,-4.5561805,86.83413,-4.997841,71.48138,-5.555157,76.49687,-2.674219,55.523544,-1.0993159,41.211422,tmpkm39r0al.wav,50.0,60.0
0.39710015,0.09564749,0.09149743,0.0017262921,576.5008866663964,27129.801219650344,898.6118450384445,110267.65444915683,884.9780117270789,47150.759944287696,0.020648883095682302,7.806370880833352e-05,-1.3287365e-07,0.008350497,4.6881289e-07,0.00026395533,[122.2826087],-378.2987,1917.9199,223.23285,840.5375,75.41871,596.1876,5.311034,255.68967,0.8289293,38.50222,2.8130183,38.905384,-0.7447273,59.54389,0.5080848,158.94183,4.5261664,161.50479,3.7840877,159.59985,-0.35676098,194.92046,-2.3906972,154.7546,-3.4398103,110.13789,-5.583959,99.863525,-6.4047747,106.90128,-5.277174,95.20494,-3.6894484,79.621155,-2.8336499,70.91766,-2.2131677,49.08577,-2.1555448,39.908623,tmpkm39r0al.wav,60.0,70.0
0.34916505,0.08602305,0.11876235,0.0012103736,589.84350826774,18250.169006934615,822.6742295097015,56220.42744052183,861.8653384861407,48577.977797613305,0.022108521288646054,5.8603789082626444e-05,4.8556825e-07,0.01244696,8.522637e-07,0.0004639822,[130.81395349],-351.33698,1494.8347,248.69682,406.65555,65.41422,744.9371,-4.4018703,268.81198,0.44579467,84.238754,1.170389,39.569798,-5.398346,59.971714,-3.0916495,103.14918,1.4882005,110.505394,0.24866211,73.791855,-3.0435557,104.73739,-2.286754,92.697014,-0.5511502,88.57328,-2.132319,98.58503,-4.906471,81.90603,-7.2281766,74.25915,-8.19986,75.65461,-7.2070446,62.5981,-4.46406,32.418915,-2.4549541,37.15929,tmpkm39r0al.wav,70.0,80.0
0.3427959,0.08883475,0.1119897,0.0018989717,567.1912316107026,13566.338516711367,832.8296513454018,70177.19431969311,784.7814498933902,47968.709731853036,0.018257450193230277,1.8378922760248955e-05,-3.957657e-06,0.012017424,-1.291655e-07,0.00035837988,[119.68085106],-360.6277,1475.45,235.91757,662.80304,64.132614,266.3603,-2.3013315,119.950226,7.9545364,86.87303,8.479875,56.377903,-5.8539915,58.585327,-9.844118,53.358406,-6.875155,45.458755,-7.5104036,40.016743,-7.6209316,65.2987,-4.7944283,80.8587,-2.8208203,84.547,-2.6234398,72.756836,-3.9756954,99.72433,-5.883665,83.12866,-5.821584,48.825485,-3.9340641,69.753815,-2.7840116,71.47191,-3.713272,58.683395,tmpkm39r0al.wav,80.0,90.0
0.3744905,0.090054154,0.09441729,0.0020279305,595.9936356894191,25222.791214858084,922.7832149123001,126133.65666211689,909.5898853944562,77777.37097262146,0.02140420942164179,6.348561031170503e-05,4.492418e-06,0.00875684,7.5540006e-06,0.00034936165,[104.16666667],-377.27026,2318.0144,235.0668,1101.2932,70.20676,445.80264,-0.56404346,263.2804,-0.09732622,40.86011,2.5359056,41.596336,-1.7051499,85.896194,0.27370065,169.56227,4.923062,132.67834,4.194163,107.913055,0.14385921,172.90956,-1.5824575,153.6491,-2.2237995,108.82003,-4.698013,96.581825,-6.92301,102.46775,-6.909713,74.6295,-5.0018377,66.871994,-2.8516245,71.0016,-0.78823423,37.576668,-0.12426146,20.337477,tmpkm39r0al.wav,90.0,100.0
0.33607352,0.08340274,0.08742336,0.0019649165,580.7544891170031,21483.15108239742,955.6567090133556,89627.07898544145,801.0727611940298,56115.7222677756,0.020323535780916845,6.741969083491126e-05,-5.4633097e-07,0.007605984,-6.18795e-06,0.00031229566,[130.81395349],-387.75122,3057.2522,227.76398,1317.7593,72.04425,684.0782,4.8243146,334.61234,2.8069835,47.896126,3.4381237,35.61232,-2.02619,51.847576,-2.6741402,105.98374,-0.837615,104.24961,-2.4192634,74.94549,-5.5520067,77.0106,-4.9274926,65.03353,-1.989011,57.388985,-0.84217894,63.30519,-2.3767965,57.093018,-5.7433524,57.571938,-8.166547,60.89339,-7.7717814,45.9481,-5.0261207,24.796766,-2.9718451,31.580769,tmpkm39r0al.wav,100.0,110.0
0.3771642,0.08562083,0.09648362,0.0013060123,486.3856074208711,8615.282811878342,868.9669967921413,57779.56690949214,636.76039445629,18764.241971179694,0.015666123900586353,1.7194185298103343e-05,-1.4099484e-06,0.008887691,-6.51116e-06,0.00024708614,[104.16666667],-395.88434,865.60895,226.27689,405.60123,87.20807,161.34273,13.805479,134.10524,5.3367023,42.222015,5.8165555,34.222065,-2.2891867,39.961044,-7.630152,35.340736,-7.495635,29.232193,-8.030538,27.078009,-8.590897,38.906258,-6.071842,60.88726,-2.4315984,78.356064,-1.224616,96.163445,-3.1667428,90.161064,-5.6371856,57.63753,-6.360562,40.848454,-5.886703,53.855274,-5.0414596,48.352795,-4.5063796,46.57182,tmpkm39r0al.wav,110.0,120.0
0.35580856,0.09527759,0.05888386,0.0011127049,537.3054826083611,25117.149040940458,1144.1698559250956,176079.93944503026,640.58335554371,44487.53460052737,0.014406899653518124,1.7371633502097013e-05,4.3445098e-06,0.003921355,-3.7868763e-06,0.00010723953,[160.71428571],-445.39877,1067.0334,205.93137,840.9297,85.57892,127.34626,21.052076,73.13594,9.516661,51.482555,6.1181192,43.99114,-2.597292,34.583282,-7.3801465,25.075243,-6.4812875,24.727184,-6.502489,33.12439,-7.4933753,40.289787,-6.6570845,36.751507,-5.026736,38.020172,-4.4403877,71.71965,-4.969364,97.77342,-5.1472692,77.013664,-3.8779376,52.493652,-2.4296267,54.46158,-2.769662,48.683834,-4.679044,39.51924,tmpkm39r0al.wav,120.0,130.0
0.4059517,0.09719451,0.06895346,0.00082492107,516.2348260494182,13236.864616157527,1037.6233401591346,62427.99644536885,669.1681103411514,31313.40325460483,0.016150240704957356,5.359985828388819e-05,-1.2695579e-06,0.004772971,4.534959e-06,0.00011994025,[83.95522388],-429.61948,834.34247,217.94156,466.78772,84.60146,162.28029,19.602274,173.31233,7.244309,90.07644,1.8669255,64.961174,-2.8770041,47.816658,-2.3594308,45.552975,0.42994076,70.47311,0.3689566,90.725296,-2.1308773,80.89917,-4.004495,73.518814,-4.1166477,86.26564,-4.154888,101.86071,-4.540843,85.91598,-4.032866,66.859024,-3.6859303,50.454224,-4.766816,33.643356,-5.452173,21.679127,-5.191665,24.429726,tmpkm39r0al.wav,130.0,140.0
0.37265658,0.08988629,0.046502437,0.00084286573,552.1978586274913,13487.624095508245,1319.1962499642254,151207.95720995465,601.7790511727079,41677.46468274845,0.013180470415778252,4.054741605778724e-05,2.286807e-06,0.0026431822,-2.4506219e-06,5.6136094e-05,[93.75],-457.97354,1257.8737,193.00545,931.2668,77.56298,109.45229,23.419483,62.16648,15.371368,65.02256,9.840488,104.52624,2.5579398,70.91654,-0.97846615,56.499928,-2.5395155,56.053135,-3.594012,54.278767,-2.9778702,46.470425,-0.87752604,37.550026,1.8424135,58.27517,2.9998646,77.9995,0.4854437,62.500835,-3.9744356,29.891443,-7.036827,41.41782,-7.435444,63.047104,-5.6825185,45.667984,-3.0581923,42.767223,tmpkm39r0al.wav,140.0,150.0
